操作,效果
c.empty ( ),返回容器是否为空
c.size ( ),返回目前元素个数
c.max_size ( ),返回元素个数最大可能量
c.capacity ( ),返回“不进行空间重新分配”条件下的元素最大容纳量
c.reserve (num),如果容量不足，扩大之^6
c.shrink_to_fit ( ),要求降低容量以符合元素个数
==等,返回是否大于小于等于
