方法,说明
request(),构造一个请求，支撑以下各方法的基础方法
get(),获取HTML网页的主要方法，对应于HTTP的GET
head(),获取HTML网页头信息的方法，对应于HTTP的HEAD
post(),向HTML网页提交POST请求的方法，对应于HTTP的POST
put(),向HTML网页提交PUT请求的方法，对应于HTTP的PUT
patch(),向HTML网页提交局部修改请求，对应于HTTP的PATCH
delete(),向HTML页面提交删除请求，对应于HTTP的DELETE
